model,dataset,k,step_window,evaluation_cohort,validation_rows,mean_steps_used,median_steps_used,p95_steps_used,finished_before_k_share,precision,recall,f1,tp,fp,fn,tn
InternVL3-8B,LingoQA,32,prefix,fixed_k50_non_all_nan,3547,23.25655483507189,23.0,32.0,0.838173104031576,0.9948586118251928,0.9508599508599508,0.9723618090452262,387,2,20,3138
InternVL3-8B,LingoQA,50,prefix,fixed_k50_non_all_nan,3547,25.12574006202425,23.0,49.0,1.0,0.989769820971867,0.9508599508599508,0.9699248120300752,387,4,20,3136
InternVL3-8B,VQAv2,1,prefix,fixed_k50_non_all_nan,2957,1.0,1.0,1.0,0.0,0.9722991689750692,0.904639175257732,0.9372496662216288,351,10,37,2559
InternVL3-8B,VQAv2,2,prefix,fixed_k50_non_all_nan,2957,1.9993236388231317,2.0,2.0,0.0006763611768684,0.9803921568627452,0.9020618556701032,0.9395973154362416,350,7,38,2562
InternVL3-8B,VQAv2,4,prefix,fixed_k50_non_all_nan,2957,3.9966181941156576,4.0,4.0,0.0013527223537368,0.9915730337078652,0.9097938144329896,0.9489247311827956,353,3,35,2566
InternVL3-8B,VQAv2,8,prefix,fixed_k50_non_all_nan,2957,7.966181941156577,8.0,8.0,0.0155563070679742,0.988795518207283,0.9097938144329896,0.9476510067114094,353,4,35,2565
InternVL3-8B,VQAv2,12,prefix,fixed_k50_non_all_nan,2957,11.819073385187693,12.0,12.0,0.0537707135610415,0.9833333333333332,0.9123711340206184,0.946524064171123,354,6,34,2563
InternVL3-8B,VQAv2,16,prefix,fixed_k50_non_all_nan,2957,15.43794386202232,16.0,16.0,0.1288468041934393,0.9833333333333332,0.9123711340206184,0.946524064171123,354,6,34,2563
InternVL3-8B,VQAv2,24,prefix,fixed_k50_non_all_nan,2957,21.04159621237741,24.0,24.0,0.4798782549881636,0.9833795013850416,0.9149484536082474,0.9479305740987984,355,6,33,2563
InternVL3-8B,VQAv2,32,prefix,fixed_k50_non_all_nan,2957,23.61176868447751,24.0,32.0,0.7943862022319919,0.9861111111111112,0.9149484536082474,0.9491978609625668,355,5,33,2564
InternVL3-8B,VQAv2,50,prefix,fixed_k50_non_all_nan,2957,25.87047683462969,24.0,49.0,1.0,0.9861111111111112,0.9149484536082474,0.9491978609625668,355,5,33,2564
LLaVA-1.5-7B,EarthVQA,1,prefix,fixed_k50_non_all_nan,1614,1.0,1.0,1.0,0.0,0.8936170212765957,0.6461538461538462,0.75,42,5,23,1544
LLaVA-1.5-7B,EarthVQA,2,prefix,fixed_k50_non_all_nan,1614,1.7843866171003715,2.0,2.0,0.2156133828996282,0.9545454545454546,0.6461538461538462,0.7706422018348624,42,2,23,1547
LLaVA-1.5-7B,EarthVQA,4,prefix,fixed_k50_non_all_nan,1614,2.8370508054522925,4.0,4.0,0.4969021065675341,0.8431372549019608,0.6615384615384615,0.7413793103448276,43,8,22,1541
LLaVA-1.5-7B,EarthVQA,8,prefix,fixed_k50_non_all_nan,1614,4.184634448574969,4.0,8.0,0.7664188351920694,0.9166666666666666,0.676923076923077,0.7787610619469026,44,4,21,1545
LLaVA-1.5-7B,EarthVQA,12,prefix,fixed_k50_non_all_nan,1614,4.684014869888476,4.0,12.0,0.9219330855018588,0.9148936170212766,0.6615384615384615,0.7678571428571428,43,4,22,1545
LLaVA-1.5-7B,EarthVQA,16,prefix,fixed_k50_non_all_nan,1614,4.850681536555142,4.0,13.0,0.969640644361834,0.8958333333333334,0.6615384615384615,0.7610619469026548,43,5,22,1544
LLaVA-1.5-7B,EarthVQA,24,prefix,fixed_k50_non_all_nan,1614,5.066914498141264,4.0,13.0,0.9739776951672864,0.8958333333333334,0.6615384615384615,0.7610619469026548,43,5,22,1544
LLaVA-1.5-7B,EarthVQA,32,prefix,fixed_k50_non_all_nan,1614,5.275092936802974,4.0,13.0,0.9739776951672864,0.8775510204081632,0.6615384615384615,0.7543859649122807,43,6,22,1543
LLaVA-1.5-7B,EarthVQA,50,prefix,fixed_k50_non_all_nan,1614,5.717472118959108,4.0,13.0,1.0,0.9148936170212766,0.6615384615384615,0.7678571428571428,43,4,22,1545
LLaVA-1.5-7B,LingoQA,1,prefix,fixed_k50_non_all_nan,1621,1.0,1.0,1.0,0.0,0.8958333333333334,0.7049180327868853,0.7889908256880733,43,5,18,1555
LLaVA-1.5-7B,LingoQA,2,prefix,fixed_k50_non_all_nan,1621,1.6946329426280071,2.0,2.0,0.3053670573719926,0.9761904761904762,0.6721311475409836,0.7961165048543689,41,1,20,1559
LLaVA-1.5-7B,LingoQA,4,prefix,fixed_k50_non_all_nan,1621,2.775447254780999,4.0,4.0,0.4787168414558914,0.8846153846153846,0.7540983606557377,0.8141592920353982,46,6,15,1554
LLaVA-1.5-7B,LingoQA,8,prefix,fixed_k50_non_all_nan,1621,4.694016039481801,5.0,8.0,0.5434916718075262,0.9565217391304348,0.7213114754098361,0.822429906542056,44,2,17,1558
LLaVA-1.5-7B,LingoQA,12,prefix,fixed_k50_non_all_nan,1621,6.100555212831585,5.0,12.0,0.7230104873534855,0.9166666666666666,0.7213114754098361,0.8073394495412843,44,4,17,1556
LLaVA-1.5-7B,LingoQA,16,prefix,fixed_k50_non_all_nan,1621,6.891425046267736,5.0,16.0,0.8476249228871067,0.9375,0.7377049180327869,0.8256880733944955,45,3,16,1557
LLaVA-1.5-7B,LingoQA,24,prefix,fixed_k50_non_all_nan,1621,7.673041332510796,5.0,24.0,0.9352251696483652,0.9574468085106383,0.7377049180327869,0.8333333333333334,45,2,16,1558
