model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
InternVL3-8B,EarthVQA,23,24,non_significant_sdc,0.7855999886889053,11052,271957
InternVL3-8B,EarthVQA,24,25,non_sdc,0.8119283915925213,3581,82031
InternVL3-8B,EarthVQA,24,25,non_significant_sdc,0.8063295364525522,11052,271957
InternVL3-8B,EarthVQA,25,26,non_sdc,0.8805873477099349,3581,82031
InternVL3-8B,EarthVQA,25,26,non_significant_sdc,0.8786895893648665,11052,271957
InternVL3-8B,EarthVQA,26,27,non_sdc,0.9726022848484064,3581,82031
InternVL3-8B,EarthVQA,26,27,non_significant_sdc,0.9709634464842254,11052,271945
LLaVA-1.5-7B,EarthVQA,0,1,non_sdc,0.9793024756576356,4843,21058
LLaVA-1.5-7B,EarthVQA,0,1,non_significant_sdc,0.965524496112461,494,4054
LLaVA-1.5-7B,EarthVQA,1,2,non_sdc,0.9788576660698036,4843,21058
LLaVA-1.5-7B,EarthVQA,1,2,non_significant_sdc,0.9480938936639717,494,4054
LLaVA-1.5-7B,EarthVQA,2,3,non_sdc,0.9824228064915902,4843,21058
LLaVA-1.5-7B,EarthVQA,2,3,non_significant_sdc,0.9487177082771706,494,4054
LLaVA-1.5-7B,EarthVQA,3,4,non_sdc,0.9814979912387574,4843,21058
LLaVA-1.5-7B,EarthVQA,3,4,non_significant_sdc,0.950945246259943,494,4054
LLaVA-1.5-7B,EarthVQA,4,5,non_sdc,0.9711292887791104,4843,21058
LLaVA-1.5-7B,EarthVQA,4,5,non_significant_sdc,0.937864785237538,494,4054
LLaVA-1.5-7B,EarthVQA,5,6,non_sdc,0.9743736551361339,4843,21058
LLaVA-1.5-7B,EarthVQA,5,6,non_significant_sdc,0.9431531697463715,494,4054
LLaVA-1.5-7B,EarthVQA,6,7,non_sdc,0.9645460401832782,4843,21058
LLaVA-1.5-7B,EarthVQA,6,7,non_significant_sdc,0.9318422361881793,494,4054
LLaVA-1.5-7B,EarthVQA,7,8,non_sdc,0.958199282538595,4843,21058
LLaVA-1.5-7B,EarthVQA,7,8,non_significant_sdc,0.928520005601894,494,4054
LLaVA-1.5-7B,EarthVQA,8,9,non_sdc,0.963787889063282,4843,21058
LLaVA-1.5-7B,EarthVQA,8,9,non_significant_sdc,0.9294863550715274,494,4054
LLaVA-1.5-7B,EarthVQA,9,10,non_sdc,0.965947837551803,4843,21058
LLaVA-1.5-7B,EarthVQA,9,10,non_significant_sdc,0.9345909537558195,494,4054
LLaVA-1.5-7B,EarthVQA,10,11,non_sdc,0.9365789924255381,4843,21058
LLaVA-1.5-7B,EarthVQA,10,11,non_significant_sdc,0.9138952321879674,494,4054
LLaVA-1.5-7B,EarthVQA,11,12,non_sdc,0.9438689076601895,4843,21058
LLaVA-1.5-7B,EarthVQA,11,12,non_significant_sdc,0.9033076952316295,494,4054
LLaVA-1.5-7B,EarthVQA,12,13,non_sdc,0.9560308512786511,4843,21058
LLaVA-1.5-7B,EarthVQA,12,13,non_significant_sdc,0.9133417999490633,494,4054
LLaVA-1.5-7B,EarthVQA,13,14,non_sdc,0.9540645087335756,4843,21058
LLaVA-1.5-7B,EarthVQA,13,14,non_significant_sdc,0.9110827400076642,494,4054
LLaVA-1.5-7B,EarthVQA,14,15,non_sdc,0.9673644560791111,4843,21058
LLaVA-1.5-7B,EarthVQA,14,15,non_significant_sdc,0.9251293367313989,494,4054
LLaVA-1.5-7B,EarthVQA,15,16,non_sdc,0.9662952598833907,4843,21058
LLaVA-1.5-7B,EarthVQA,15,16,non_significant_sdc,0.9299451260570818,494,4054
