model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
InternVL3-8B,LingoQA,21,22,sdc,0.5785677498528333,10090,268172
InternVL3-8B,LingoQA,21,22,significant_sdc,0.17927263719889047,1520,66449
InternVL3-8B,LingoQA,22,23,clean,0.7089948057292292,7695,163344
InternVL3-8B,LingoQA,22,23,sdc,0.6617981743755689,9998,263524
InternVL3-8B,LingoQA,22,23,significant_sdc,0.3662670335986325,1428,61801
InternVL3-8B,LingoQA,23,24,clean,0.6868250459912084,7695,163344
InternVL3-8B,LingoQA,23,24,sdc,0.6709117625530722,9913,259890
InternVL3-8B,LingoQA,23,24,significant_sdc,0.5477427448761082,1343,58167
InternVL3-8B,LingoQA,24,25,clean,0.6819939348450769,7695,163344
InternVL3-8B,LingoQA,24,25,sdc,0.6592261793403421,9811,255015
InternVL3-8B,LingoQA,24,25,significant_sdc,0.5096925353474865,1241,53292
InternVL3-8B,LingoQA,25,26,clean,0.8057914840675071,7695,163344
InternVL3-8B,LingoQA,25,26,sdc,0.7585712811858164,9745,251443
InternVL3-8B,LingoQA,25,26,significant_sdc,0.42707796311872726,1175,49720
InternVL3-8B,LingoQA,26,27,clean,0.9651610550826826,7695,163344
InternVL3-8B,LingoQA,26,27,sdc,0.8933339499854357,9651,247275
InternVL3-8B,LingoQA,26,27,significant_sdc,0.33761663296769123,1081,45572
LLaVA-1.5-7B,LingoQA,0,1,clean,0.9916186262432656,4791,35451
LLaVA-1.5-7B,LingoQA,0,1,sdc,0.7816973526113699,1174,27716
LLaVA-1.5-7B,LingoQA,0,1,significant_sdc,0.49533613595289305,467,16784
LLaVA-1.5-7B,LingoQA,1,2,clean,0.9875158190151663,4791,35451
LLaVA-1.5-7B,LingoQA,1,2,sdc,0.6644522972430621,1166,27324
LLaVA-1.5-7B,LingoQA,1,2,significant_sdc,0.23546808593563595,459,16392
LLaVA-1.5-7B,LingoQA,2,3,clean,0.9879387525992064,4791,35451
LLaVA-1.5-7B,LingoQA,2,3,sdc,0.7521994992361708,1165,27275
LLaVA-1.5-7B,LingoQA,2,3,significant_sdc,0.45830944893531445,458,16343
LLaVA-1.5-7B,LingoQA,3,4,clean,0.9850960745257056,4791,35451
LLaVA-1.5-7B,LingoQA,3,4,sdc,0.8142755213700273,1158,26932
LLaVA-1.5-7B,LingoQA,3,4,significant_sdc,0.6316577863474073,451,16000
LLaVA-1.5-7B,LingoQA,4,5,clean,0.9789560885055799,4791,35451
LLaVA-1.5-7B,LingoQA,4,5,sdc,0.7365571497046159,1149,26491
LLaVA-1.5-7B,LingoQA,4,5,significant_sdc,0.4506668523303173,442,15559
LLaVA-1.5-7B,LingoQA,5,6,clean,0.9731940788668128,4791,35451
LLaVA-1.5-7B,LingoQA,5,6,sdc,0.7516363194097152,1135,25805
LLaVA-1.5-7B,LingoQA,5,6,significant_sdc,0.4856042619019365,428,14873
LLaVA-1.5-7B,LingoQA,6,7,clean,0.9740877646504945,4791,35451
LLaVA-1.5-7B,LingoQA,6,7,sdc,0.7660250751579157,1130,25560
LLaVA-1.5-7B,LingoQA,6,7,significant_sdc,0.5203438916709756,423,14628
LLaVA-1.5-7B,LingoQA,7,8,clean,0.9679632939060832,4791,35451
LLaVA-1.5-7B,LingoQA,7,8,sdc,0.7286195519973876,1119,25021
LLaVA-1.5-7B,LingoQA,7,8,significant_sdc,0.42607391439067377,413,14138
LLaVA-1.5-7B,LingoQA,8,9,clean,0.9644161574720852,4791,35451
LLaVA-1.5-7B,LingoQA,8,9,sdc,0.697762559069677,1109,24531
LLaVA-1.5-7B,LingoQA,8,9,significant_sdc,0.35032356698950556,404,13697
LLaVA-1.5-7B,LingoQA,9,10,clean,0.9720952976400149,4791,35451
LLaVA-1.5-7B,LingoQA,9,10,sdc,0.7585339444057275,1099,24041
LLaVA-1.5-7B,LingoQA,9,10,significant_sdc,0.47454904384851726,394,13207
LLaVA-1.5-7B,LingoQA,10,11,clean,0.9556338837102542,4791,35451
LLaVA-1.5-7B,LingoQA,10,11,sdc,0.7089200414965974,1081,23159
LLaVA-1.5-7B,LingoQA,10,11,significant_sdc,0.3683309948413327,377,12374
LLaVA-1.5-7B,LingoQA,11,12,clean,0.9536799774699543,4791,35451
LLaVA-1.5-7B,LingoQA,11,12,sdc,0.7520875475103143,1066,22424
LLaVA-1.5-7B,LingoQA,11,12,significant_sdc,0.4727440796121606,365,11786
LLaVA-1.5-7B,LingoQA,12,13,clean,0.959142105675323,4791,35451
LLaVA-1.5-7B,LingoQA,12,13,sdc,0.7170411463196722,1061,22179
LLaVA-1.5-7B,LingoQA,12,13,significant_sdc,0.36033312541989976,360,11541
LLaVA-1.5-7B,LingoQA,13,14,clean,0.9610116474510443,4791,35451
LLaVA-1.5-7B,LingoQA,13,14,sdc,0.7071262059105464,1052,21738
LLaVA-1.5-7B,LingoQA,13,14,significant_sdc,0.3165012518428255,351,11100
LLaVA-1.5-7B,LingoQA,14,15,clean,0.9674619837757532,4791,35451
LLaVA-1.5-7B,LingoQA,14,15,sdc,0.7809314396174328,1040,21150
