model,dataset,configuration,metric,statistic,feature_count,evaluation_cohort,validation_rows,positive_samples,negative_samples,precision,recall,f1,tp,fp,fn,tn,full_f1,delta_f1_pp
LLaVA-1.5-7B,EarthVQA,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,1614,65,1549,0.8431372549019608,0.6615384615384615,0.7413793103448276,43,8,22,1541,0.7678571428571428,-2.647783251231517
LLaVA-1.5-7B,LingoQA,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,1621,61,1560,0.8823529411764706,0.7377049180327869,0.8035714285714285,45,6,16,1554,0.8333333333333334,-2.976190476190488
LLaVA-1.5-7B,LingoQA,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,1621,61,1560,0.8,0.7213114754098361,0.7586206896551724,44,11,17,1549,0.8333333333333334,-7.471264367816099
LLaVA-1.5-7B,LingoQA,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,1621,61,1560,0.8888888888888888,0.6557377049180327,0.7547169811320755,40,5,21,1555,0.8333333333333334,-7.861635220125784
LLaVA-1.5-7B,LingoQA,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,1621,61,1560,0.9090909090909092,0.6557377049180327,0.761904761904762,40,4,21,1556,0.8333333333333334,-7.14285714285714
LLaVA-1.5-7B,LingoQA,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,1621,61,1560,0.8695652173913043,0.6557377049180327,0.7476635514018691,40,6,21,1554,0.8333333333333334,-8.566978193146424
LLaVA-1.5-7B,LingoQA,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,1621,61,1560,0.8913043478260869,0.6721311475409836,0.7663551401869158,41,5,20,1555,0.8333333333333334,-6.697819314641762
LLaVA-1.5-7B,LingoQA,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,1621,61,1560,0.8431372549019608,0.7049180327868853,0.7678571428571429,43,8,18,1552,0.8333333333333334,-6.547619047619047
LLaVA-1.5-7B,LingoQA,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,1621,61,1560,0.8235294117647058,0.6885245901639344,0.7499999999999999,42,9,19,1551,0.8333333333333334,-8.333333333333348
LLaVA-1.5-7B,LingoQA,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,1621,61,1560,0.9302325581395348,0.6557377049180327,0.7692307692307692,40,3,21,1557,0.8333333333333334,-6.410256410256421
LLaVA-1.5-7B,LingoQA,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,1621,61,1560,0.9782608695652174,0.7377049180327869,0.8411214953271028,45,1,16,1559,0.8333333333333334,0.7788161993769416
LLaVA-1.5-7B,LingoQA,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,1621,61,1560,0.9565217391304348,0.7213114754098361,0.822429906542056,44,2,17,1558,0.8333333333333334,-1.0903426791277315
LLaVA-1.5-7B,LingoQA,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,1621,61,1560,0.8,0.7213114754098361,0.7586206896551724,44,11,17,1549,0.8333333333333334,-7.471264367816099
LLaVA-1.5-7B,VQAv2,cos_sim_mean,cos_sim,mean,6,fixed_full_non_all_nan,1541,43,1498,0.8378378378378378,0.7209302325581395,0.7749999999999999,31,6,12,1492,0.8157894736842105,-4.07894736842106
LLaVA-1.5-7B,VQAv2,cos_sim_max,cos_sim,max,6,fixed_full_non_all_nan,1541,43,1498,0.6923076923076923,0.627906976744186,0.6585365853658537,27,12,16,1486,0.8157894736842105,-15.725288831835682
LLaVA-1.5-7B,VQAv2,cos_sim_min,cos_sim,min,6,fixed_full_non_all_nan,1541,43,1498,0.775,0.7209302325581395,0.7469879518072289,31,9,12,1489,0.8157894736842105,-6.880152187698164
LLaVA-1.5-7B,VQAv2,mean_diff_mean,mean_diff,mean,6,fixed_full_non_all_nan,1541,43,1498,0.6451612903225806,0.4651162790697674,0.5405405405405406,20,11,23,1487,0.8157894736842105,-27.524893314366995
LLaVA-1.5-7B,VQAv2,mean_diff_max,mean_diff,max,6,fixed_full_non_all_nan,1541,43,1498,0.7878787878787878,0.6046511627906976,0.6842105263157895,26,7,17,1491,0.8157894736842105,-13.157894736842104
LLaVA-1.5-7B,VQAv2,mean_diff_min,mean_diff,min,6,fixed_full_non_all_nan,1541,43,1498,0.6585365853658537,0.627906976744186,0.6428571428571429,27,14,16,1484,0.8157894736842105,-17.29323308270676
LLaVA-1.5-7B,VQAv2,std_diff_mean,std_diff,mean,6,fixed_full_non_all_nan,1541,43,1498,0.9375,0.6976744186046512,0.8000000000000002,30,2,13,1496,0.8157894736842105,-1.5789473684210351
LLaVA-1.5-7B,VQAv2,std_diff_max,std_diff,max,6,fixed_full_non_all_nan,1541,43,1498,0.7567567567567568,0.6511627906976745,0.7000000000000001,28,9,15,1489,0.8157894736842105,-11.578947368421044
LLaVA-1.5-7B,VQAv2,std_diff_min,std_diff,min,6,fixed_full_non_all_nan,1541,43,1498,0.8571428571428571,0.6976744186046512,0.7692307692307693,30,5,13,1493,0.8157894736842105,-4.655870445344124
LLaVA-1.5-7B,VQAv2,l2_distance_mean,l2_distance,mean,6,fixed_full_non_all_nan,1541,43,1498,0.8378378378378378,0.7209302325581395,0.7749999999999999,31,6,12,1492,0.8157894736842105,-4.07894736842106
LLaVA-1.5-7B,VQAv2,l2_distance_max,l2_distance,max,6,fixed_full_non_all_nan,1541,43,1498,0.8529411764705882,0.6744186046511628,0.7532467532467532,29,5,14,1493,0.8157894736842105,-6.254272043745734
LLaVA-1.5-7B,VQAv2,l2_distance_min,l2_distance,min,6,fixed_full_non_all_nan,1541,43,1498,0.627906976744186,0.627906976744186,0.627906976744186,27,16,16,1482,0.8157894736842105,-18.788249694002445
