job,model,dataset,method,cohort,sdc_recall,significant_sdc_recall,non_sdc_fpr,significant_sdc_precision,significant_sdc_f1,samples
internvl3_lingoqa,internvl3,lingoqa,Ranger-style,finite_only,0.1172566371681416,0.5,0.007079646017699115,0.8363636363636363,0.6258503401360543,1469
internvl3_lingoqa,internvl3,lingoqa,Dr.DNA-style,full,0.2882882882882883,0.684,0.010619469026548672,0.9553072625698324,0.7972027972027972,1786
internvl3_lingoqa,internvl3,lingoqa,Dr.DNA-style,finite_only,0.03871681415929203,0.14130434782608695,0.010619469026548672,0.6341463414634146,0.2311111111111111,1469
internvl3_lingoqa,internvl3,lingoqa,SIEVE,full,0.4144144144144144,0.958,0.019469026548672566,0.9264990328820116,0.9419862340216322,1786
internvl3_lingoqa,internvl3,lingoqa,SIEVE,finite_only,0.20907079646017698,0.8858695652173914,0.019469026548672566,0.815,0.8489583333333334,1469
internvl3_vqav2,internvl3,vqav2,Ranger-style,full,0.33526970954356844,0.7974683544303798,0.022608695652173914,0.9064748201438849,0.8484848484848486,1780
internvl3_vqav2,internvl3,vqav2,Ranger-style,finite_only,0.10702341137123746,0.4251497005988024,0.022608695652173914,0.6513761467889908,0.5144927536231884,1472
internvl3_vqav2,internvl3,vqav2,Dr.DNA-style,full,0.28962655601659754,0.7067510548523207,0.02608695652173913,0.9203296703296703,0.7995226730310262,1780
internvl3_vqav2,internvl3,vqav2,Dr.DNA-style,finite_only,0.045707915273132664,0.16766467065868262,0.02608695652173913,0.5,0.25112107623318386,1472
internvl3_vqav2,internvl3,vqav2,SIEVE,full,0.3817427385892116,0.9282700421940928,0.01391304347826087,0.9401709401709402,0.9341825902335456,1780
internvl3_vqav2,internvl3,vqav2,SIEVE,finite_only,0.16945373467112598,0.7964071856287425,0.01391304347826087,0.83125,0.8134556574923548,1472
llava15_earthvqa,llava15,earthvqa,Ranger-style,full,0.6504065040650406,0.8813559322033898,0.009589041095890411,0.9341317365269461,0.9069767441860466,976
llava15_earthvqa,llava15,earthvqa,Ranger-style,finite_only,0.18095238095238095,0.4166666666666667,0.009589041095890411,0.5769230769230769,0.48387096774193544,835
llava15_earthvqa,llava15,earthvqa,Dr.DNA-style,full,0.5894308943089431,0.8135593220338984,0.012328767123287671,0.935064935064935,0.8700906344410877,976
llava15_earthvqa,llava15,earthvqa,Dr.DNA-style,finite_only,0.0380952380952381,0.08333333333333333,0.012328767123287671,0.23076923076923078,0.12244897959183675,835
llava15_earthvqa,llava15,earthvqa,SIEVE,full,0.6382113821138211,0.8757062146892656,0.0027397260273972603,0.9748427672955975,0.9226190476190477,976
llava15_earthvqa,llava15,earthvqa,SIEVE,finite_only,0.1523809523809524,0.3888888888888889,0.0027397260273972603,0.7777777777777778,0.5185185185185185,835
llava15_lingoqa,llava15,lingoqa,Ranger-style,full,0.5910931174089069,0.8662420382165605,0.009628610729023384,0.8888888888888888,0.8774193548387097,974
llava15_lingoqa,llava15,lingoqa,Ranger-style,finite_only,0.12931034482758622,0.36363636363636365,0.009628610729023384,0.5454545454545454,0.43636363636363634,843
llava15_lingoqa,llava15,lingoqa,Dr.DNA-style,full,0.5870445344129555,0.8598726114649682,0.013755158184319119,0.8709677419354839,0.8653846153846154,974
llava15_lingoqa,llava15,lingoqa,Dr.DNA-style,finite_only,0.1206896551724138,0.3333333333333333,0.013755158184319119,0.4583333333333333,0.38596491228070173,843
llava15_lingoqa,llava15,lingoqa,SIEVE,full,0.6923076923076923,0.9235668789808917,0.015130674002751032,0.7967032967032966,0.8554572271386431,974
llava15_lingoqa,llava15,lingoqa,SIEVE,finite_only,0.3448275862068966,0.6363636363636364,0.015130674002751032,0.4117647058823529,0.5,843
llava15_vqav2,llava15,vqav2,Ranger-style,full,0.8614457831325302,0.8979591836734694,0.0013550135501355014,0.9166666666666666,0.9072164948453607,904
llava15_vqav2,llava15,vqav2,Ranger-style,finite_only,0.34285714285714286,0.4230769230769231,0.0013550135501355014,0.8461538461538461,0.5641025641025641,773
llava15_vqav2,llava15,vqav2,Dr.DNA-style,full,0.8493975903614458,0.8843537414965986,0.0027100271002710027,0.9090909090909091,0.8965517241379309,904
llava15_vqav2,llava15,vqav2,Dr.DNA-style,finite_only,0.2857142857142857,0.34615384615384615,0.0027100271002710027,0.75,0.4736842105263157,773
llava15_vqav2,llava15,vqav2,SIEVE,full,0.8734939759036144,0.9115646258503401,0.014905149051490514,0.8589743589743589,0.8844884488448845,904
llava15_vqav2,llava15,vqav2,SIEVE,finite_only,0.4,0.5,0.014905149051490514,0.52,0.5098039215686274,773
