model,dataset,configuration,ablation_type,included_groups,removed_group,feature_count,evaluation_cohort,validation_rows,positive_samples,negative_samples,precision,recall,f1,tp,fp,fn,tn,delta_f1_pp
LLaVA-1.5-7B,EarthVQA,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,1614,65,1549,0.9148936170212766,0.6615384615384615,0.7678571428571429,43,4,22,1545,0.0
LLaVA-1.5-7B,EarthVQA,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,1614,65,1549,0.8958333333333334,0.6615384615384615,0.7610619469026548,43,5,22,1544,-0.6795195954488076
LLaVA-1.5-7B,EarthVQA,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,1614,65,1549,0.8775510204081632,0.6615384615384615,0.7543859649122807,43,6,22,1543,-1.347117794486219
LLaVA-1.5-7B,EarthVQA,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,1614,65,1549,0.8958333333333334,0.6615384615384615,0.7610619469026548,43,5,22,1544,-0.6795195954488076
LLaVA-1.5-7B,EarthVQA,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,1614,65,1549,0.8958333333333334,0.6615384615384615,0.7610619469026548,43,5,22,1544,-0.6795195954488076
LLaVA-1.5-7B,EarthVQA,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,1614,65,1549,0.86,0.6615384615384615,0.7478260869565218,43,7,22,1542,-2.0031055900621157
LLaVA-1.5-7B,EarthVQA,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,1614,65,1549,0.9333333333333332,0.6461538461538462,0.7636363636363637,42,3,23,1546,-0.4220779220779236
LLaVA-1.5-7B,EarthVQA,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,1614,65,1549,0.86,0.6615384615384615,0.7478260869565218,43,7,22,1542,-2.0031055900621157
LLaVA-1.5-7B,EarthVQA,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,1614,65,1549,0.8958333333333334,0.6615384615384615,0.7610619469026548,43,5,22,1544,-0.6795195954488076
LLaVA-1.5-7B,LingoQA,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,1621,61,1560,0.9574468085106383,0.7377049180327869,0.8333333333333334,45,2,16,1558,0.0
LLaVA-1.5-7B,LingoQA,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,1621,61,1560,0.9183673469387756,0.7377049180327869,0.8181818181818182,45,4,16,1556,-1.5151515151515138
LLaVA-1.5-7B,LingoQA,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,1621,61,1560,0.9565217391304348,0.7213114754098361,0.822429906542056,44,2,17,1558,-1.0903426791277315
LLaVA-1.5-7B,LingoQA,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,1621,61,1560,0.9574468085106383,0.7377049180327869,0.8333333333333334,45,2,16,1558,0.0
LLaVA-1.5-7B,LingoQA,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,1621,61,1560,0.9565217391304348,0.7213114754098361,0.822429906542056,44,2,17,1558,-1.0903426791277315
LLaVA-1.5-7B,LingoQA,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,1621,61,1560,0.8653846153846154,0.7377049180327869,0.7964601769911505,45,7,16,1553,-3.687315634218291
LLaVA-1.5-7B,LingoQA,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,1621,61,1560,0.9534883720930232,0.6721311475409836,0.7884615384615384,41,2,20,1558,-4.487179487179493
LLaVA-1.5-7B,LingoQA,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,1621,61,1560,0.86,0.7049180327868853,0.7747747747747747,43,7,18,1553,-5.855855855855863
LLaVA-1.5-7B,LingoQA,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,1621,61,1560,0.9583333333333334,0.7540983606557377,0.8440366972477065,46,2,15,1558,1.07033639143731
LLaVA-1.5-7B,VQAv2,full,full,"[""cos_sim"", ""mean_diff"", ""std_diff"", ""l2_distance""]",,72,fixed_full_non_all_nan,1541,43,1498,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496,0.0
LLaVA-1.5-7B,VQAv2,without_cos_sim,leave_one_out,"[""mean_diff"", ""std_diff"", ""l2_distance""]",cos_sim,54,fixed_full_non_all_nan,1541,43,1498,0.8823529411764706,0.6976744186046512,0.7792207792207793,30,4,13,1494,-3.656869446343125
LLaVA-1.5-7B,VQAv2,without_mean_diff,leave_one_out,"[""cos_sim"", ""std_diff"", ""l2_distance""]",mean_diff,54,fixed_full_non_all_nan,1541,43,1498,0.8611111111111112,0.7209302325581395,0.7848101265822784,31,5,12,1493,-3.0979347101932064
LLaVA-1.5-7B,VQAv2,without_std_diff,leave_one_out,"[""cos_sim"", ""mean_diff"", ""l2_distance""]",std_diff,54,fixed_full_non_all_nan,1541,43,1498,0.8857142857142857,0.7209302325581395,0.7948717948717948,31,4,12,1494,-2.0917678812415685
LLaVA-1.5-7B,VQAv2,without_l2_distance,leave_one_out,"[""cos_sim"", ""mean_diff"", ""std_diff""]",l2_distance,54,fixed_full_non_all_nan,1541,43,1498,0.9393939393939394,0.7209302325581395,0.8157894736842105,31,2,12,1496,0.0
LLaVA-1.5-7B,VQAv2,only_cos_sim,single_group,"[""cos_sim""]",,18,fixed_full_non_all_nan,1541,43,1498,0.8857142857142857,0.7209302325581395,0.7948717948717948,31,4,12,1494,-2.0917678812415685
LLaVA-1.5-7B,VQAv2,only_mean_diff,single_group,"[""mean_diff""]",,18,fixed_full_non_all_nan,1541,43,1498,0.8529411764705882,0.6744186046511628,0.7532467532467533,29,5,14,1493,-6.254272043745724
LLaVA-1.5-7B,VQAv2,only_std_diff,single_group,"[""std_diff""]",,18,fixed_full_non_all_nan,1541,43,1498,0.9375,0.6976744186046512,0.8,30,2,13,1496,-1.5789473684210464
LLaVA-1.5-7B,VQAv2,only_l2_distance,single_group,"[""l2_distance""]",,18,fixed_full_non_all_nan,1541,43,1498,0.8285714285714286,0.6744186046511628,0.7435897435897436,29,6,14,1492,-7.21997300944669
